name,symptoms
Ячмень на глазу,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На пораженном веке появляется припухлость, кожа краснеет. Больной ощущает зуд, дискомфорт, боль. Ощупывание века приводит к значительному усилению боли. Конъюнктива глаза краснеет, могут появляться засохшие корочки.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Примерно через 2 суток (от 1 до 4) в области припухлости сквозь кожу начинает проглядывать гнойничок. Он выглядит в качестве выступающей головки желтого цвета. Вскоре он прорывается, и гной отходит наружу. После этого боль и другие симптомы стихают, наступает выздоровление.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Иногда ячмень глаза протекает в тяжелой форме: ухудшается общее самочувствие больного, повышается температура тела, увеличиваются в размерах и становятся болезненными лимфатические узлы, расположенные под кожей на шее, в подзатылочной области, над и под ключицами.
 </p>
</div>
"
Боли в мышцах,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   боль и ломота в мышцах (рук, спины, ног, шеи и плеч);
  </li>
  <li>
   сильная боль, напряженность, ограниченная подвижность.
  </li>
 </ul>
</div>
"
Гематомы подкожные,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Рекомендуется обратиться к врачу при большом количестве синяков, при появлении синяков на фоне приема ацетилсалициловой кислоты, антикоагулянтов или других лекарственных средств, при постоянном возникновении синяков даже при самых незначительных ушибах, если синяк сопровождается сильной болью и опухолью.
 </p>
</div>
"
Диарея путешественников,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Характерные признаки диареи путешественников включают: жидкий и частый стул (понос или диарея), тошнота, боли в животе и судороги. Диарея путешественников обычно длится несколько дней. Для здоровых людей диарея крайне редко может представлять угрозу для жизни.
 </p>
</div>
"
Инородные тела,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инородное тело в глазах: опухание, краснота, выделение крови из поверхностных кровяных сосудов, чувствительность к свету, неожиданные проблемы со зрением.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инородное тело в ушах и в носу: боль, потеря слуха, ощущение застрявшего в ухе предмета, кровяные выделения с неприятным запахом из ноздрей.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инородное тело в дыхательных путях и желудке: затрудненное глотание, слюноотделение, нарушение дыхания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инородное тело в прямой кишке: резкая острая боль при дефекации.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Другие симптомы варьируются в зависимости от размера предмета, его положения, времени нахождения в организме.
 </p>
</div>
"
Кровотечения,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При открытых кровотечениях кровь вытекает из открытой раны, возможно развитие травматического шока; у больного может отмечаться холодный липкий пот, головокружение после травмы; очень частый пульс (учащенный сердечный ритм); одышка; спутанность сознания, снижение внимания; слабость.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При внутреннем кровотечении может отмечаться боль в животе, вздутие живота; кровь в кале (черная, темно-бордовая или ярко красная) или очень темный кал; кровь в моче (красная, розовая, чайного цвета); вагинальное кровотечение (сильнее, чем обычно или после менопаузы); кровь в рвотной массе (выглядит ярко красной или коричневой, как кофе).
 </p>
</div>
"
Натоптыши и застарелые мозоли,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Мозоль представляет собой область с толстыми, плотными слоями омертвевшей кожи. В некоторых случаях может вызывать болезненные ощущения. Обычно боль возникает при непосредственном давлении на мозоль. В таких случаях можно попробовать справиться с проблемой самостоятельно.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При постоянно повторяющихся или не проходящих в результате самолечения мозолях следует обратиться к врачу.
 </p>
</div>
"
Обморожение,
Ожоги,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Прикосновение к раскаленным поверхностям и предметам, а также контакт с некоторыми опасными химическими веществами, горячим паром, кипящими жидкостями и электрическим током.
 </p>
</div>
"
Отравления,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Отравление может сопровождаться лихорадкой, ознобом, потерей аппетита, головной болью, раздражительностью, слабостью, сонливостью, головокружением. Требуется немедленная госпитализация, если возникают также боль при глотании или повышенное слюноотделение, боль в животе, рвота, диарея, тошнота; поражения кожи или химические ожоги, оцепенение, судороги, потеря сознания, двоение в глазах, затуманенное зрение, судорожные припадки.
 </p>
</div>
"
Переломы,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если после падения вы отмечаете видимую деформацию кости, сильную боль в области кости, стреляющая боль, ограничение движения или сильную боль при движении, то необходимо немедленно обратиться за медицинской помощью.
 </p>
</div>
"
Потеря сознания,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Рекомендуется обратиться к врачу, если у вас часто возникают обмороки, или головокружение, слабость, тошнота, бледность кожных покровов. К больному, потерявшему сознание на некоторое время, следует вызвать медицинскую помощь.
 </p>
</div>
"
Растяжения мышц,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Растяжение мышцы — мышца при таких травмах слишком растянута, некоторые ткани могут быть порваны. В поврежденном месте могут быть кровотечение и опухоль. По мере того как растяжение проходит, могут появиться небольшие шрамы, поэтому после травмы мышца может быть не такой эластичной и крепкой. Если сустав был слишком напряжен, могут порваться ткани связок и других поддерживающих сустав элементов. В таком случае сустав опухает, становится очень чувствительным и болезненным.
 </p>
</div>
"
Растяжения связок,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   боль в суставе;
  </li>
  <li>
   припухлость и покраснение;
  </li>
  <li>
   ограничение или невозможность движения из-за сильной боли;
  </li>
  <li>
   в тяжёлых случаях деформация сустава.
  </li>
 </ul>
</div>
"
Синдром гипервентиляции,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При возникновении подобных симптомов следует срочно обратиться к врачу: учащенное дыхание, затрудненное дыхание, давящее чувство, стесненность, боль в области груди, беспокойство, сухость во рту, ухудшение зрения, покалывание в пальцах рук и ног, боль и судороги в руках и пальцах, потеря сознания.
 </p>
</div>
"
Тепловой удар,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Возможно возникновение головной боли, головокружения, вялости и чувства усталости, тревожного возбуждения, дезориентации или спутанности сознания. В тяжелых случаях судороги, потеря сознания, галлюцинации. Возможен учащенный пульс, высокая температура тела, кожа становится сухой, горячей.
 </p>
</div>
"
Травмы головы,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если после травмы у больного просто небольшой ушиб или гематома, причиняющие небольшой дискомфорт, с проблемой можно справиться самостоятельно.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Следует обратиться за медицинской помощью, когда кровотечение из раны продолжается более 10 минут, при сильной головной боли и боли в шее, при усиливающейся головной боли и тошноте. Следует немедленно вызвать скорую помощь, если кровь или прозрачная жидкость текут из носа и ушей, при температуре тела выше 38 градусов, при повреждении шеи и спины, при судорогах, спутанности сознания, нарушениях способности ходить, нефокусирующимся взгляде, затрудненной речи, затуманенном зрении или при зрачках разного размера, затрудненном дыхании, потере сознания.
 </p>
</div>
"
Шок,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Симптомы шока могут включать чувство страха или возбуждения, синюшные губы и ногти, боль в груди, дезориентацию, холодную влажную кожу, сокращение или прекращение мочеиспускания, головокружение, обморочное состояние, низкое артериальное давление, бледность, избыточное потоотделение, учащенный пульс, поверхностное дыхание, беспамятство, слабость.
 </p>
</div>
"
Экстремальный туризм,
Электрический шок,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При любом подозрении на электротравму рекомендуется обратиться к врачу. При наличии ожогов, попадании молнии, подозрении на сильный удар током или при тяжелом состоянии пострадавшего следует немедленно вызвать скорую помощь.
 </p>
</div>
"
Абсцесс прямой кишки,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Заболевание, как правило, начинается остро. Вслед за коротким продромальным периодом с недомоганием, слабостью, головной болью появляется нарастающая боль в прямой кишке, промежности или в тазу, сопровождающаяся повышением температуры тела и ознобом. Степень выраженности симптомов острого парапроктита зависит от локализации воспалительного процесса, распространенности его, характера возбудителя, реактивности организма. При локализации гнойника в подкожной клетчатке клинические проявления выражены более ярко и определенно: болезненный инфильтрат в области заднего прохода, гиперемия кожи, повышение температуры тела вынуждают, как правило, обратиться к врачу в первые дни после начала заболевания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Ишиоректальный абсцесс в первые дни болезни проявляется общими симптомами: познабливанием, плохим самочувствием, тупой болью в тазу и прямой кишке, усиливающимися при дефекации; местные изменения асимметрия ягодиц, инфильтрация, гиперемия кожи появляются в поздней стадии (5-6-й день).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Наиболее тяжело протекает пельвиоректальный парапроктит, при котором гнойник располагается глубоко в тазу.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В первые дни болезни преобладают общие симптомы воспаления: лихорадка, ознобы, головная боль, боль в суставах, в тазу, внизу живота. Часто пациент обращается к хирургу, урологу, женщины к гинекологу. Нередко их лечат по поводу острого респираторного заболевания, гриппа. Продолжительность этого периода иногда достигает 10-12 дней. В дальнейшем отмечаются усиление боли в тазу и прямой кишке, задержка стула, мочи и выраженная интоксикация.
 </p>
</div>
"
Анальная трещина,
Геморрой,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   выделение крови из прямой кишки после дефекации;
  </li>
  <li>
   прожилки крови в кале;
  </li>
  <li>
   выпадение геморроидальных узлов из анального канала;
  </li>
  <li>
   боль и раздражение в области ануса.
  </li>
 </ul>
</div>
"
Полипы прямой кишки,
Закаливание,
Курение,
Питание спортсменов,
Примерная программа профилактических осмотров для женщин,
Примерная программа профилактических осмотров для мужчин,
Профилактика спортивных травм,
Алкоголизм,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Злоупотребление спиртным влияет на способность человека принимать повседневные решения, делает его безответственным. Алкоголики могут не ходить на работу или не посещать занятий, у них возникают сложности в общении. На конечных стадиях алкоголизма они оказываются неспособными позаботиться даже о себе.
  <br/>
  Первые признаки алкоголизма можно заподозрить, если человек:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   употребляет спиртное с целью забыть обо всех проблемах,
  </li>
  <li>
   выпивает по утрам или в одиночку,
  </li>
  <li>
   в состоянии опьянения может нанести вред себе или окружающим,
  </li>
  <li>
   нуждается во все большем и большем количестве спиртного,
  </li>
  <li>
   теряет контроль над собой.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если у вас или ваших близких имеются подобные проблемы, постарайтесь обратиться к врачу.
 </p>
</div>
"
Аутизм,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Обратитесь к врачу, если вы стали замечать у своего ребенка следующие особенности:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   ребенок не отзывается, когда его зовут по имени;
  </li>
  <li>
   не может объяснить, чего он хочет;
  </li>
  <li>
   испытывает задержку темпов речевого развития;
  </li>
  <li>
   не следует никаким указаниям взрослых;
  </li>
  <li>
   периодически появляются нарушения слуха;
  </li>
  <li>
   не понимает, как играть с той или иной игрушкой;
  </li>
  <li>
   плохо устанавливает визуальный контакт;
  </li>
  <li>
   не улыбается другим;
  </li>
  <li>
   не лепечет и не гулит в возрасте 12 месяцев;
  </li>
  <li>
   не делает указательных жестов, не машет рукой, не делает хватательных или других движений в возрасте 12 месяцев;
  </li>
  <li>
   не говорит отдельные слова в 16 месяцев;
  </li>
  <li>
   не произносит фразы из двух слов в 24 месяца;
  </li>
  <li>
   наблюдается утрата речевых или социальных навыков в любом возрасте.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Часто у родителей таких детей создается ощущение, что ребенок живет в своем собственном отдельном мире.
 </p>
</div>
"
Булимия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   разрушение зубной эмали и проблемы с деснами, вызванные многократным воздействием кислоты желудочного сока при рвоте;
  </li>
  <li>
   обезвоживание;
  </li>
  <li>
   царапины на одном или нескольких пальцах, которые больной помещает в горло при попытке вызвать рвоту;
  </li>
  <li>
   воспаление пищевода и околоушной слюнной железы в связи с частой рвотой;
  </li>
  <li>
   дисбаланс электролитов (минералов и солей), который может обуславливать судороги и подергивания мышц;
  </li>
  <li>
   различные расстройства кишечника (из-за избыточного употребления слабительных средств);
  </li>
  <li>
   симптомы нарушений функции печени и почек;
  </li>
  <li>
   внутренние кровотечения в некоторых случаях;
  </li>
  <li>
   нерегулярный менструальный цикл;
  </li>
  <li>
   заболевания сердца, обусловленные метаболическими сдвигами при патологическом пищевом поведении.
  </li>
 </ul>
</div>
"
Депрессия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Эмоциональные проявления депрессии очень разнообразны. К ним относятся чувство тревоги, отчаяния, снижение самооценки. Человек, страдающий депрессией, испытывает постоянную усталость, печаль. Он перестает интересоваться тем, что раньше приносило ему радость, становится равнодушным к окружающим.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Меняется и поведение больных. Депрессию можно заподозрить, если человек утрачивает способность к целенаправленным действиям, не может сконцентрировать внимание. Общительный и жизнерадостный по своей природе человек, впадая в депрессию, начинает избегать контактов с друзьями, близкими, «запирает себя в четырех стенах». Нередко возникает привязанность к алкоголю, наркотическим препаратам.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Больным депрессией также свойственны некоторые особенности мышления. Мысли о себе становятся негативными, человек фиксируется на отрицательных сторонах своей жизни, считает себя ненужным, никчемным, обременительным для родственников. Больному тяжело самостоятельно принимать решения.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Помимо изменений эмоциональной сферы, для депрессий также характерны физиологические (соматические) проявления. Чаще всего нарушается режим сна и бодрствования, возникает бессонница. Аппетит может исчезнуть полностью или, наоборот, усилиться и приводить к перееданию. Больные жалуются на боли в области сердца, желудка, страдают запорами. Заметно снижается энергетический запас организма, пациенты быстро переутомляются даже при небольших физических и умственных нагрузках. Нередко возникают расстройства сексуальной сферы.
 </p>
</div>
"
Ипохондрия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Больной, страдающий ипохондрией, считает, что он болен какой‐либо патологией, либо может заболеть ей в скором времени. Он уверен, что знает, какое у него заболевание, лучше любого врача. Но его мнение постоянно меняется, периодически он испытывает сомнения.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Один из наиболее характерных симптомов ипохондрии – «боли» и другие «признаки» заболеваний. Больной их «ощущает», но при обследовании обычно ничего не выявляется. Это еще больше усиливает недоверие по отношению к врачам, заставляет пациента еще больше беспокоиться о своем состоянии.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Чаще всего при ипохондрии «страдают» сердце, желудок, головной мозг, половые органы. Со временем в них действительно могут развиваться нарушения. Они являются итогом патологической импульсации со стороны головного мозга: это и называется психосоматикой, когда психика человека влияет на работу внутренних органов.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Известны случаи, когда больные с ипохондрией и другими формами неврозов даже «устраивали» у себя инфаркт миокарда.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При ипохондрии больной испытывает страх за свое состояние. Могут возникать навязчивые страхи, например, страх смерти или страх инфицирования. В связи с ними больной проводит «защитные ритуалы», которые помогают «избежать» опасности. Например, при страхе заразиться инфекцией это может быть частое мытье рук. Иногда пациенты требуют, чтобы «ритуалы» соблюдали вместе с ними все близкие.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У многих больных с ипохондрией имеются черты истеричности – им нравится «болеть» и демонстрировать свое плохое самочувствие, быть в центре внимания окружающих.
 </p>
</div>
"
Истерический невроз (диссоциативное расстройство),
Нарушения пищевого поведения,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <h3 id=""anoreksiya"">
  Анорексия
 </h3>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   навязчивое желание похудеть, когда человек уже и так сильно потерял в весе;
  </li>
  <li>
   отвращение к пище (потеря аппетита);
  </li>
  <li>
   огромная потеря в весе;
  </li>
  <li>
   иногда при анорексии могут наблюдаться также приступы булимии (человек набрасывается на еду, наедается, а затем вызывает рвоту или принимает слабительное);
  </li>
  <li>
   чрезмерная озабоченность собственным весом. Больные анорексией могут взвешиваться несколько раз в день;
  </li>
  <li>
   раздражительность, особенно в отношении пищи;
  </li>
  <li>
   навязчивая тяга к физическим упражнениям;
  </li>
  <li>
   сухая, бледная или землистого цвета кожа;
  </li>
  <li>
   проблемы с ногтями, выпадение волос;
  </li>
  <li>
   запоры;
  </li>
  <li>
   гипотермия. Температура тела понижается, т.к. в организме совсем не остается жира. На ногах и руках могут начать расти тонкие волоски;
  </li>
  <li>
   у женщин аменорея или нерегулярные менструации.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <h3 id=""bulimiya"">
  <strong>
   Булимия
  </strong>
 </h3>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   навязчивая боязнь поправиться;
  </li>
  <li>
   иногда излишняя худоба;
  </li>
  <li>
   человек набрасывается на еду, наедается, а затем вызывает рвоту или принимает слабительное. В зависимости от степени тяжести, такие приступы могут происходить раз в неделю или несколько раз в день;
  </li>
  <li>
   постоянное соблюдение различных диет;
  </li>
  <li>
   навязчивая тяга к физическим упражнениям;
  </li>
  <li>
   раздражительность, депрессия вплоть до желания совершить суицид в особенно тяжелых случаях;
  </li>
  <li>
   постоянная боль и жжение в горле из-за избытка кислоты;
  </li>
  <li>
   сухие губы, язык, сухая кожа, увеличенные слюнные железы (признаки обезвоживания);
  </li>
  <li>
   хроническая диарея или запор;
  </li>
  <li>
   нерегулярные менструации у женщин;
  </li>
  <li>
   обезвоживание и дефицит питательных веществ (особенно калия).
  </li>
 </ul>
</div>
"
Неврастения,
Невроз навязчивых состояний,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Неврозы навязчивых состояний делят на три разновидности: навязчивые страхи, навязчивые мысли и навязчивые движения. Такое деление не совсем правильное, так как в большинстве случаев в разных соотношениях сочетаются все три разновидности. Навязчивые страхи еще называют фобиями. Человек, страдающий неврозом, может бояться чего угодно, и часто его страх является неестественным, нелепым. Распространены такие виды фобий, как боязнь темноты, закрытых или, напротив, открытых пространств, насекомых, заражения, смерти. Страх может быть как за себя, так и за близких людей.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Для того чтобы оградить себя от мнимой опасности, больной совершает определенные «ритуалы». Например, при страхе заражения инфекцией человек очень часто моет руки, не вытирает их о полотенце, боясь «подцепить заразу» с него, а сушит, размахивая ими в воздухе.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Навязчивые мысли могут быть различными. Человек понимает, что эти мысли — его собственные, но не может от них избавиться. В одних случаях навязчивые мысли не вызывают у человека никаких переживаний и воспринимаются им спокойно. Это может быть «умственная жвачка» (постоянное прокручивание в голове одного и того же), навязчивые сомнения (выходя из дома, человек по несколько раз возвращается, чтобы проверить, выключен ли газ), навязчивый счет и пр.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Другая разновидность навязчивых мыслей доставляет больному сильные мучения. Это могут быть различные кощунственные и богохульные мысли, навязчивое желание сделать что‐то, что осуждается обществом, например, ударить находящегося рядом человека, сказать неприличное слово. Такие желания никогда не реализуются, но больной страдает из‐за них, пытается от них избавиться.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Навязчивые движения являются своеобразным «ритуалом», который больной человек выполняет для того, чтобы чувствовать себя увереннее. Это могут быть простые постукивания пальцами по столу (причем, больному необходимо постучать строго определенное количество раз), хлопки в ладоши, выщипывание волос на голове и пр. Иногда навязчивые движения превращаются в сложные действия.
 </p>
</div>
"
Панические атаки,
Повышенная тревожность,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   Паника:
  </strong>
  представляет собой неожиданные, периодически повторяющиеся приступы сильного страха и тревоги, часто совершенно беспричинные. Это может сочетаться с агорафобией, когда больной избегает открытых пространств, людей, боясь впасть в панику.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   Фобии
  </strong>
  это нелогичные страхи. В эту группу расстройств входят социальные фобии, при которых больной избегает появляться на людях, говорить с людьми, питаться в ресторанах, и простые фобии, когда человек боится змей, пауков, высоты и др.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   Навязчивые маниакальные расстройства:
  </strong>
  состояние, когда у человека периодически возникают однотипные идеи, мысли и желания. Например, он постоянно моет руки, проверяет, выключено ли электричество, заперты ли двери и др.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Расстройства на фоне посттравматического стресса: обычны среди ветеранов войн, но страдать ими может любой человек, переживший события, выходящие за рамки обычной жизни. Часто в снах такие события переживаются вновь.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   Генерализованные расстройства на основе тревожного состояния:
  </strong>
  в этом случае человек ощущает постоянное чувство тревоги. Часто это становится причиной загадочных физикальных симптомов. Иногда врачи долго не могут разобраться в причинах того или иного заболевания, назначают множество анализов для обнаружения болезней сердца, нервной и пищеварительной систем, хотя на самом деле причина таится в психических нарушениях.
 </p>
</div>
"
Расстройства личности (психопатии),
Социофобия,
Стресс,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Симптомы могут постепенно нарастать или появляться внезапно, в течение нескольких минут. Приступы паники обычно длятся недолго, протекают в виде эмоциональных взрывов, сопровождающихся чувством ужаса и такими реакциями организма, как усиленное сердцебиение и потение.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Генерализованное тревожное состояние обычно развивается постепенно и обычно не является прямым следствием какого-либо определенного беспричинного страха (фобии).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Два главных признака стресса и тревожного состояния — это неконтролируемая тревога и беспокойство. К симптомам также можно отнести мышечное напряжение, усталость, раздражительность, нетерпеливость, бессонницу или расстройства сна, трудности с концентрацией внимания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Стрессы и тревожности могут приводить к приступам паники, для которых характерны боль или чувство дискомфорта в грудной клетке, учащенное сердцебиение, затрудненное, поверхностное дыхание, чувство нехватки воздуха , удушья, озноб или резкое повышение температуры, дрожь, тошнота, боль в животе, онемение или чувство покалывания в конечностях.
 </p>
</div>
"
